"corpus","tgl_wikipedia_2021"
"subcorpus","-"
Item,Frequency
"ng",238112
"sa",225955
"ang",190452
".",166857
"na",160524
",",139533
"mga",127708
"ay",108335
"at",84280
"isang",48927
"ito",33281
"""",31665
"noong",29815
"si",25036
")",24915
"(",24632
"ni",21119
"o",17865
"bilang",17847
"may",17298
"hindi",17234
"siya",16994
"kanyang",16282
"para",14426
"mula",12933
"nito",10423
"kung",10402
"''",9457
"upang",9215
"dahil",7851
"niya",7622
"nang",7416
"isa",7221
"kanilang",7081
"rin",7000
"unang",6609
"naging",6442
"din",6265
"iba",6091
"pa",5657
"mas",5560
"hanggang",5448
"tao",5409
"ibang",5207
"ngunit",5166
"lamang",5070
"maaaring",4973
"pang",4846
"pamamagitan",4625
"bahagi",4607
"saan",4584
"dalawang",4533
"ilang",4512
"taon",4432
"kay",4374
"nasa",4154
"sila",4120
"maraming",4111
"kasama",4078
"lungsod",4060
"the",3985
"lahat",3980
":",3970
"of",3906
"panahon",3883
"taong",3745
"walang",3716
"pilipinas",3697
"t",3532
"pagkatapos",3509
"bansa",3369
"itong",3313
"habang",3237
"loob",3219
"naman",3173
"pangunahing",3146
"pangunahin",3138
"buong",3099
"ayon",3057
"dito",3055
"planetang",3050
"siyang",3043
"tulad",3026
"tinatawag",3006
"araw",2954
"bagong",2941
"kaniyang",2916
";",2915
"ginagamit",2795
"lugar",2758
"nila",2673
"pangalan",2523
"kilala",2523
"bago",2502
"bawat",2474
"mundo",2474
"anak",2452
"karaniwang",2437
"kabilang",2397
"album",2362
"maging",2350
"kapag",2341
"kaya",2293
"tatlong",2262
"pelikula",2215
"bayan",2189
"uri",2184
"buhay",2177
"mayroong",2169
"pagitan",2145
"higit",2123
"matapos",2113
"niyang",2096
"babae",2071
"ilalim",2047
"karamihan",2020
"parehong",1946
"de",1903
"mayroon",1892
"matatagpuan",1800
"ingles",1781
"dating",1748
"malaking",1730
"iyon",1717
"ngayon",1698
"kahit",1696
"huling",1655
"kanya",1638
"muling",1627
"populasyon",1623
"y",1615
"s",1613
"tungkol",1609
"halos",1602
"batas",1602
"and",1601
"unibersidad",1596
"bagay",1591
"san",1588
"sina",1576
"nagsimula",1573
"apat",1567
"katulad",1558
"siglo",1553
"halimbawa",1537
"laro",1524
"mataas",1520
"laban",1516
"subalit",1514
"opisyal",1514
"ginawa",1509
"simbahan",1500
"itinatag",1494
"wikang",1492
"nagkaroon",1492
"oras",1491
"diyos",1488
"pagiging",1480
"ring",1462
"binubuo",1461
"estados",1444
"unidos",1438
"salitang",1436
"pamahalaan",1432
"wika",1424
"paggamit",1422
"katawan",1378
"kasalukuyang",1375
"estado",1367
"pangkat",1352
"ipinanganak",1348
"dapat",1344
"gayunpaman",1341
"panahong",1341
"ama",1325
"namatay",1312
"paraan",1305
"bagaman",1303
"madalas",1302
"banda",1302
"grupo",1293
"kasaysayan",1291
"inilabas",1283
"orihinal",1278
"lalaki",1267
"ginamit",1267
"pambansang",1265
"maaari",1265
"sarili",1238
"paaralan",1237
"simula",1236
"lalawigan",1234
"tubig",1228
"sinabi",1221
"malapit",1211
"pamilya",1208
"ikalawang",1202
"enero",1200
"hapon",1200
"bata",1196
"maliit",1195
"mayo",1189
"kapatid",1186
"serye",1175
"buwan",1175
"pag-aaral",1171
"marso",1170
"gamit",1156
"disyembre",1153
"1",1141
"kanta",1141
"oktubre",1130
"setyembre",1128
"ding",1120
"-",1117
"abril",1114
"wala",1107
"artista",1103
"miyembro",1101
"palabas",1099
"marami",1096
"bahay",1094
"a",1090
"ilan",1077
"nina",1067
"nobyembre",1065
"aklat",1064
"ilog",1062
"itinuturing",1059
"ina",1057
"muli",1057
"sakit",1056
"timog",1055
"nitong",1052
"una",1050
"agosto",1046
"hulyo",1045
"new",1043
"pebrero",1035
"hunyo",1033
"manlalaro",1028
"2",1022
"gawa",1020
"silang",1014
"pinakamalaking",1012
"anumang",1003
"kaysa",994
"pelikulang",990
"rehiyon",989
"gaya",986
"antas",981
"pilipino",975
"gumawa",971
"salita",969
"pangulo",969
"lupa",968
"limang",965
"kasapi",961
"gumagamit",961
"anyo",957
"kulay",954
"sistema",953
"tinawag",948
"milyong",948
"sining",943
"pinuno",933
"di",922
"lokal",914
"musika",914
"dekada",912
"man",910
"papel",908
"kanila",908
"pagbabago",907
"pangalang",904
"kadalasang",902
"noon",901
"nagmula",894
"sariling",893
"paggawa",888
"maynila",887
"pangalawang",885
"sumunod",885
"gusali",884
"dalawa",876
"telebisyon",867
"lang",867
"linya",864
"sanhi",864
"nagbibigay",864
"pati",863
"university",862
"batay",861
"pagkain",856
"2010",851
"3",848
"kapangyarihan",848
"edad",843
"kasalukuyan",841
"nanalo",839
"asawa",827
"lalo",824
"rito",823
"tunay",817
"10",813
"nilang",808
"katangian",807
"hari",802
"katao",800
"2011",795
"sinaunang",795
"anim",794
"punong",791
"school",790
"batang",787
"huli",786
"mag-aaral",784
"itinayo",782
"naglalaman",781
"gulang",780
"kaso",780
"pook",778
"digmaan",777
"hayop",777
"gawain",776
"halip",768
"programa",768
"hilagang",765
"sistemang",761
"partikular",756
"labas",751
"2007",751
"maria",748
"isinulat",748
"kabuuang",745
"kamatayan",740
"halaga",740
"kalaunan",740
"patuloy",740
"lumabas",737
"labanan",736
"dahilan",736
"2006",729
"pagkakaroon",728
"babaeng",727
"malawak",725
"kahulugan",721
"video",719
"in",717
"pangkalahatang",713
"nakuha",713
"york",711
"tumutukoy",708
"gamitin",707
"dagat",700
"europa",700
"awit",698
"tsina",695
"kastila",694
"partido",693
"alam",693
"sentro",689
"makikita",689
"bansang",685
"minsan",684
"kilalang",684
"mahalagang",679
"kuwento",678
"tanging",677
"2008",676
"sapagkat",673
"linggo",672
"music",670
"ganitong",670
"trabaho",667
"larangan",665
"city",663
"pero",662
"pagkakataon",657
"5",656
"dumating",652
"mahigit",650
"militar",650
"kasunod",650
"daigdig",649
"bumalik",648
"nakilala",647
"2009",646
"magiging",644
"nagbigay",644
"karaniwan",644
"nagpapakita",640
"beses",636
"agham",636
"bukod",633
"12",632
"hesus",628
"resulta",627
"15",626
"manunulat",624
"20",623
"milyon",623
"bersyon",621
"4",619
"lumitaw",619
"amerika",618
"korea",618
"i",617
"!",617
"magkaroon",616
"mabilis",615
"serbisyo",615
"nagsimulang",615
"award",611
"kailangan",609
"malakas",608
"layunin",606
"national",604
"network",601
"tuwing",600
"for",598
"amerikano",598
"pinakamataas",597
"world",596
"sukat",593
"ikatlong",591
"maliban",589
"kultura",589
"la",588
"larawan",587
"daan",584
"30",583
"tahanan",583
"doon",582
"distrito",581
"kabila",580
"romano",580
"kaibigan",579
"karakter",578
"lupain",578
"nangangahulugang",576
"magulang",576
"gitnang",576
"karera",576
"sinasabing",575
"tinatayang",574
"produkto",571
"kinabibilangan",571
"metro",570
"mababang",568
"kaharian",566
"pamagat",565
"tagumpay",564
"ministro",563
"pulo",562
"matagumpay",559
"nagiging",559
"kababaihan",559
"barangay",558
"epekto",558
"ibabaw",558
"2005",555
"samantalang",554
"season",553
"ginagawa",550
"dugo",549
"maaring",549
"lipunan",547
"tauhan",547
"estasyon",547
"2012",545
"bato",544
"umiiral",544
"lakas",543
"2014",543
"nakatanggap",542
"emperador",540
"ano",539
"pumasok",538
"11",536
"juan",534
"modernong",531
"naganap",531
"indibidwal",530
"mang-aawit",530
"titik",528
"p",527
"25",527
"2013",526
"6",526
"bagyo",525
"?",525
"tunog",525
"puno",522
"espanya",522
"madaling",522
"labis",521
"patungo",521
"malaki",520
"posisyon",519
"katutubong",518
"nakita",518
"bundok",518
"pagsusuri",517
"roma",516
"–",514
"international",514
"100",514
"edukasyon",513
"mo",513
"gabi",512
"kapwa",512
"digmaang",510
"proseso",510
"sumusunod",509
"john",509
"gitna",509
"kamay",507
"kompanya",506
"hangin",505
"nilikha",505
"nasabing",505
"sikat",503
"silangang",502
"pandaigdigang",501
"mamamayan",501
"negosyo",501
"silangan",501
"koponan",500
"sumali",500
"ekonomiya",499
"lumipat",498
"14",498
"bandang",497
"tawag",497
"16",496
"humigit-kumulang",495
"industriya",495
"tiyak",494
"pitong",493
"binuo",493
"pamamaraan",493
"2004",492
"ulo",492
"yugto",492
"lumang",491
"papa",489
"7",488
"tungkulin",488
"anime",488
"paano",488
"pangyayari",487
"gamot",487
"gayon",484
"natapos",483
"pananaw",481
"24",480
"nabuo",480
"problema",479
"mahusay",479
"2015",478
"kabisera",477
"kaganapan",477
"tanyag",476
"hangganan",476
"2010.",475
"asya",475
"8",475
"philippine",472
"ukol",472
"daang",472
"18",472
"sabihin",470
"hapones",469
"kolehiyo",468
"istasyon",468
"ko",467
"bumubuo",466
"muslim",466
"umabot",464
"pagganap",464
"maliliit",463
"hinggil",462
"tulong",462
"2016",461
"nakaraang",461
"paksa",460
"ibinigay",460
"nagtapos",459
"disenyo",459
"proyekto",458
"susunod",458
"karagdagang",457
"likas",457
"tagalog",457
"galing",456
"kakayahan",454
"natatanging",454
"impormasyon",452
"gayundin",450
"hilaga",450
"high",449
"center",448
"malalaking",448
"sinimulan",447
"binigyan",447
"pinalitan",446
"katoliko",446
"naninirahan",446
"gumagawa",446
"pamamahala",446
"simbahang",445
"ii",445
"gobyerno",445
"ganap",443
"pinakamahusay",443
"paligid",443
"to",442
"pananaliksik",440
"dulo",440
"karagdagan",440
"kaugnay",439
"13",439
"kanluran",438
"17",438
"ako",437
"japan",437
"itaas",436
"maikling",436
"pampublikong",435
"pagkaraan",435
"republika",434
"nais",434
"pagkakaiba",434
"umalis",434
"nangyari",434
"mahirap",433
"kauna-unahang",433
"kilometro",433
"19",432
"ibig",432
"obispo",432
"guro",431
"haba",430
"best",430
"talaan",430
"jose",429
"media",429
"hanay",429
"kristiyano",429
"marcos",428
"balat",427
"publiko",426
"no",426
"sapat",426
"modelo",426
"us",424
"numero",423
"katumbas",422
"nakikita",422
"pamahalaang",421
"kinuha",421
"pranses",420
"aleman",420
"direktor",420
"tsino",419
"kabataan",418
"banal",418
"termino",418
"kalayaan",417
"kaugnayan",417
"mahalaga",417
"pinamagatang",417
"inihayag",416
"hugis",416
"dati",416
"kumpanya",416
"larong",416
"pinagmulan",415
"naniniwala",415
"single",414
"pagkamatay",413
"base",413
"kadalasan",413
"lumikha",413
"tulay",412
"maagang",411
"nakakuha",411
"relasyon",410
"natuklasan",410
"2003",410
"klase",408
"natagpuan",408
"elemento",407
"21",407
"pisikal",406
"binuksan",406
"2000",405
"walong",404
"sintomas",404
"hukbong",403
"tinutukoy",403
"2017",402
"griyego",402
"awards",401
"amerikanong",401
"mata",401
"paglalakbay",401
"taas",401
"tv",401
"sampung",401
"ibarra",401
"imperyo",400
"gumanap",399
"radyo",399
"gawaing",399
"2018",397
"pamayanan",397
"mismo",396
"halalan",394
"lalaking",394
"halaman",393
"kopya",393
"don",393
"pag-unlad",392
"nahahati",392
"makabagong",391
"pormal",390
"magmula",389
"23",388
"22",388
"itim",386
"uk",386
"santo",384
"26",383
"operasyon",383
"kabuuan",382
"manila",382
"naglabas",382
"paglabas",382
"santa",382
"film",382
"sinasabi",381
"kanlurang",380
"2001",378
"naunang",378
"kapaligiran",378
"karapatan",377
"9",377
"alemanya",377
"studio",376
"namang",376
"&",375
"american",375
"kailangang",375
"college",374
"kada",374
"panganib",374
"gawin",374
"kinakailangan",374
"nayon",374
"damit",373
"inilarawan",373
"puso",373
"barko",373
"mababa",373
"m",372
"28",372
"olimpiko",372
"pamumuno",372
"parangal",371
"sangay",371
"kaniya",370
"paniniwala",370
"plano",368
"dami",368
"2002",368
"c",367
"linyang",366
"pagtaas",366
"relihiyon",365
"pari",365
"daanan",364
"pampolitika",364
"pagdating",364
"mahabang",364
"rock",362
"2019",362
"munisipalidad",362
"binago",361
"gumamit",361
"pilipinong",361
"nakatuon",361
"humantong",360
"del",359
"pangangailangan",359
"nabanggit",358
"kinatawan",357
"sakop",357
"nagpatuloy",356
"dr",356
"tren",356
"pagdiriwang",356
"nagawa",356
"kaalaman",356
"nangyayari",355
"pamantasan",355
"tula",355
"pahayag",354
"ating",354
"india",354
"ika-19",354
"makita",354
"kawalan",353
"ehipto",353
"kinikilala",353
"rizal",353
"bahaging",352
"drama",351
"latin",351
"panlipunan",351
"hudyo",351
"kumakatawan",350
"pagbibigay",350
"pransiya",350
"punto",349
"gilid",349
"pribadong",348
"akda",348
"awitin",348
"padre",348
"nangungunang",347
"nga",347
"espesyal",347
"records",346
"naitala",346
"pinakawalan",344
"2011.",344
"katotohanan",344
"malinaw",344
"ka",344
"27",344
"agad",343
"patakaran",342
"presyo",342
"sibil",342
"sinundan",342
"panloob",341
"ginto",341
"bce",341
"kalye",341
"katedral",341
"kalagayan",340
"kasunduan",340
"papunta",340
"kapitan",340
"heneral",338
"samahan",338
"matinding",338
"tanggapan",338
"pinsala",337
"aktor",337
"isla",337
"ginanap",337
"year",337
"haring",336
"senso",336
"pablo",336
"paglikha",335
"kakayahang",334
"programang",334
"kasal",334
"hukbo",334
"enerhiya",333
"materyal",333
"pagtatapos",333
"listahan",333
"teritoryo",332
"ginawang",332
"manga",332
"panig",331
"paliparan",331
"pagtatayo",331
"konsepto",331
"record",330
"st",330
"baybayin",330
"pinili",330
"paaralang",328
"pagsasanay",327
"normal",327
"ipinalabas",326
"pinangalanan",325
"magandang",325
"on",325
"iyong",325
"nawala",324
"matagal",324
"ipinakilala",324
"nagdulot",324
"gusto",324
"bumuo",323
"/",323
"up",323
"kontrol",322
"kinakatawan",321
"live",321
"ideya",321
"kalusugan",320
"isyu",319
"group",319
"lalake",318
"game",318
"lawa",318
"internet",317
"samantala",317
"grupong",317
"liwanag",316
"south",316
"paggamot",315
"lindol",315
"siyam",315
"espanyol",315
"pera",315
"pangkalahatan",314
"kalahati",314
"nag-aral",314
"diyosesis",313
"2009.",313
"kita",313
"quezon",313
"ce",313
"komunidad",313
"pangkaraniwang",313
"malayang",312
"selula",312
"likod",311
"tinanggap",311
"solong",311
"kundi",311
"dinala",310
"2007.",310
"panlabas",310
"dantaon",309
"naturang",309
"star",308
"nagsisimula",308
"ipinakita",308
"makasaysayang",308
"kalaunang",308
"kalapit",307
"pag-aari",307
"malawakang",307
"natural",307
"ulit",307
"ika-20",307
"kalagitnaan",307
"association",307
"klima",307
"temperatura",306
"interes",306
"united",305
"inilagay",305
"david",305
"apoy",305
"tila",304
"palasyo",304
"libro",304
"50",304
"james",303
"pag-ibig",303
"tatlo",303
"nobela",303
"nangangailangan",303
"taunang",303
"natitirang",303
"b",303
"sundalo",302
"popular",302
"kalakhang",302
"kritiko",301
"parang",301
"abenida",300
"nagwagi",299
"bakit",299
"organisasyon",299
"nakatira",299
"29",299
"pinaka",299
"paglalarawan",298
"hiwalay",298
"magagamit",298
"nanatili",298
"pinaniniwalaang",298
"track",297
"luzon",297
"kalikasan",297
"umaabot",297
"manggagawa",296
"pandaigdig",296
"italya",295
"kahoy",294
"pamilyang",294
"kasamang",294
"los",294
"institusyon",294
"artikulo",294
"puwesto",293
"datos",293
"tamang",293
"ipinahayag",292
"panitikan",292
"mukha",292
"dna",292
"anyong",292
"love",291
"lokasyon",291
"pinatay",291
"dakilang",291
"sulat",291
"bukas",291
"britanya",289
"katayuan",289
"channel",289
"tumaas",289
"lumilitaw",288
"ulat",288
"you",288
"tokyo",288
"may-akda",288
"boto",288
"awiting",288
"museo",288
"impeksiyon",286
"tradisyon",286
"marahil",286
"blg",285
"posibleng",285
"pagsulat",284
"natanggap",284
"nauugnay",284
"ruta",283
"tradisyonal",283
"2008.",283
"pinangalanang",283
"seryeng",282
"1999",282
"nagtatag",282
"simbolo",282
"hinirang",281
"aking",281
"2012.",281
"inilunsad",280
"jr",280
"ipinapakita",280
"medalya",280
"lumaki",279
"umaga",278
"produksiyon",278
"entertainment",278
"simpleng",278
"31",278
"inc",278
"nilalaman",277
"israel",277
"state",276
"tala",276
"puting",276
"kondisyon",275
"petsa",274
"malamang",274
"pagtatanghal",274
"bk",274
"kaunting",273
"bababa",273
"karanasan",273
"kasarian",273
"sangkap",273
"2020",272
"tampok",272
"kanser",271
"sanggol",271
"nagaganap",271
"basketball",271
"malaman",271
"pedro",270
"one",270
"teksto",269
"1998",269
"mismong",269
"london",268
"terminong",268
"nakamit",268
"species",268
"estilo",268
"regular",268
"natalo",268
"yunit",267
"teoriya",267
"1997",267
"paa",267
"karne",266
"park",266
"natitira",266
"canada",266
"puntos",266
"kagawaran",266
"direktang",265
"nagtatampok",265
"hinango",265
"mabuting",265
"pagkilala",265
"tatak",265
"kapanahunan",264
"nabubuhay",264
"1990",263
"impluwensiya",263
"gobernador",263
"show",263
"personal",262
"magbigay",262
"palarong",261
"institute",261
"inilalarawan",261
"pagtuturo",261
"dagdag",261
"lubos",261
"paligsahan",261
"d",260
"estudyante",260
"philippines",260
"tema",259
"nagtrabaho",259
"nananatiling",259
"internasyonal",258
"isda",258
"nagtatrabaho",258
"sasakyang",258
"muhammad",258
"kong",258
"nagsilbi",258
"tumagal",258
"hitler",257
"naglalarawan",257
"filipino",257
"sumulat",257
"pokémon",256
"minuto",255
"black",255
"pagpatay",255
"ba",255
"inilathala",255
"teknolohiya",254
"gastos",254
"imperyong",254
"top",254
"pansin",254
"kinilala",254
"tumanggap",254
"ugat",254
"nag-iisang",254
"north",254
"lalong",254
"pareho",253
"aktres",253
"digital",253
"iba''t-ibang",253
"pop",253
"natin",253
"isinasagawa",252
"british",252
"pagsubok",252
"balita",252
"bunga",252
"metal",252
"tirahan",252
"kompyuter",251
"radio",251
"konseho",251
"wakas",251
"tag-init",251
"online",251
"mainit",251
"tungo",251
"artist",250
"patay",250
"malaysia",250
"pamilihan",250
"palaging",250
"laki",249
"ngipin",249
"1986",249
"mahal",249
"korte",249
"harap",248
"paul",248
"saklaw",248
"parte",248
"napili",248
"house",248
"miss",248
"system",248
"ospital",247
"australia",247
"kalakalan",247
"anong",247
"katapusan",247
"festival",247
"kakulangan",247
"x",246
"hall",246
"nanatiling",246
"kagamitan",246
"kalihim",245
"pamumuhay",245
"kabanata",245
"tindahan",245
"academy",244
"sinulat",244
"paraang",244
"reyna",244
"salaysay",244
"seremonya",243
"palaro",243
"inilipat",243
"maayos",243
"isinagawa",243
"kalaban",243
"karapatang",243
"bituin",243
"buto",243
"edisyon",243
"suporta",242
"patungong",242
"pinamumunuan",241
"depende",241
"imahe",241
"katimugang",241
"gaanong",241
"2013.",241
"lebel",240
"gumaganap",240
"sasakyan",240
"pangyayaring",240
"itinalaga",240
"kahirapan",240
"nagsasalita",240
"iminungkahi",239
"indonesia",239
"pasahero",238
"tingnan",237
"ibaba",237
"gas",237
"lawak",237
"nilalang",237
"dulot",237
"mabuti",237
"bangko",237
"gayong",237
"kontrata",237
"paglipas",237
"angkop",237
"labi",237
"kampus",237
"katagang",237
"nahalal",237
"hinaharap",236
"inaasahang",236
"pagkawala",236
"pagbuo",236
"tour",236
"liham",236
"kasabay",236
"nagngangalang",236
"super",235
"kalidad",235
"sino",235
"pinamunuan",234
"paris",234
"kumuha",234
"2006.",234
"katangiang",233
"trono",233
"buhok",233
"grand",233
"kailan",233
"club",233
"talagang",232
"biktima",232
"baga",232
"km",232
"baka",232
"pangulong",232
"1980",232
"paghahanap",232
"makuha",231
"kesa",231
"bagamat",231
"ginampanan",231
"v",231
"ebidensiya",230
"sentral",230
"40",230
"lahi",230
"langis",230
"pagsapit",230
"matatag",230
"siyentipiko",229
"huwag",229
"palitan",229
"piraso",229
"mindanao",229
"mamatay",229
"ikaapat",228
"gayunman",228
"pagsusulat",228
"aprika",228
"laman",228
"ninuno",228
"bagyong",228
"team",228
"pulis",228
"medyo",227
"1996",226
"kapanganakan",226
"kalendaryong",226
"gantimpala",226
"inaasahan",226
"kumpara",226
"pula",226
"nakasulat",225
"krus",225
"takot",224
"pag",224
"islam",224
"galaw",224
"sobyet",224
"bahagyang",224
"200",224
"pansamantalang",224
"maiwasan",223
"corporation",223
"nakabatay",223
"1995",223
"william",223
"debut",223
"pumunta",223
"time",222
"utak",222
"matandang",222
"california",222
"makalipas",222
"templo",221
"puwersa",221
"kapayapaan",221
"muna",220
"kaliwa",220
"tabi",220
"nagbago",220
"kalalakihan",220
"iisang",220
"nagkakaisang",220
"nagpakita",220
"positibong",220
"bumagsak",220
"bulaklak",219
"solo",219
"bibliya",219
"kompanyang",219
"angeles",219
"karamdaman",219
"area",219
"literal",219
"iniulat",218
"nakatayo",218
"kalahok",218
"label",218
"espesye",218
"bersiyon",218
"iii",218
"alkalde",217
"francisco",217
"propesyonal",217
"1992",217
"kuryente",217
"nangangahulugan",217
"host",217
"paghahari",217
"ugnayan",217
"$",217
"pananampalataya",216
"pilosopiya",216
"kapalit",216
"pagtanggap",216
"katunayan",216
"dahon",216
"band",216
"pagsabog",216
"bisa",215
"talampakan",215
"pamantayan",215
"kilos",215
"sanggunian",215
"kahabaan",215
"pahayagan",215
"europeo",215
"pag-atake",215
"aktibidad",215
"nagsisilbing",214
"isinama",214
"michael",214
"arts",214
"politika",214
"kailanman",213
"hakbang",213
"salapi",212
"titulo",212
"e",212
"1960",212
"pinakamatandang",212
"totoo",211
"player",211
"kilusang",211
"inspirasyon",211
"kapulungan",211
"pagbagsak",211
"2018.",211
"aktibo",211
"sekswal",211
"komiks",211
"kantang",211
"langit",211
"bilis",210
"2015.",210
"nakikilala",210
"pader",210
"pahina",210
"seksuwal",210
"malubhang",210
"lumahok",209
"nagbabago",209
"series",209
"dinastiyang",209
"tugon",209
"ad",209
"pananakop",209
"2017.",209
"tagahanga",208
"n",208
"politiko",208
"pasyente",208
"kasanayan",208
"manonood",208
"maliwanag",208
"company",208
"organismo",208
"awtoridad",208
"lee",208
"agrikultura",207
"panginoon",207
"minsang",207
"may-ari",207
"my",207
"pagbabalik",206
"gawing",206
"art",206
"milya",206
"silid",206
"bumaba",206
"alamat",205
"pambansa",205
"kampanya",205
"mahahalagang",205
"field",205
"legal",205
"pasilidad",205
"espiritu",205
"chart",205
"1970",205
"direksyon",205
"magazine",205
"ipinangalan",205
"nag",205
"katutubo",204
"galit",204
"iniwan",204
"henerasyon",204
"dinisenyo",204
"america",204
"2016.",203
"estadong",203
"masa",203
"aspeto",203
"lihim",203
"episode",203
"siyudad",203
"pagpasok",203
"ika-18",203
"bakal",202
"2004.",202
"diego",201
"pulang",201
"gene",201
"pinangunahan",201
"me",201
"pamamaraang",201
"lupon",201
"pares",201
"direksiyon",201
"daloy",201
"puti",201
"ipakita",200
"pagkuha",200
"tradisyunal",200
"itinampok",200
"hukuman",200
"presyon",200
"nagpapahiwatig",199
"diin",199
"1994",199
"kurso",199
"mapa",199
"komunikasyon",199
"party",199
"bolyum",199
"bus",198
"nanirahan",198
"malalim",198
"nakaraan",198
"pangatlong",198
"serbisyong",198
"nobelang",198
"mabilisang",198
"mangyari",198
"pagbubukas",197
"kanan",197
"kapangyarihang",197
"kaunti",197
"bilyon",197
"produktong",197
"nag-aalok",197
"kakaibang",197
"girl",197
"science",196
"sayaw",196
"kaguluhan",196
"halagang",196
"dalubhasa",195
"solusyon",195
"paunang",195
"teoriyang",195
"magasin",194
"general",194
"hawak",194
"patinig",194
"robert",194
"ipinadala",194
"pag-iisip",194
"sitwasyon",193
"binanggit",193
"negatibong",193
"utos",193
"kongreso",193
"tumakbo",193
"bakterya",193
"damdamin",193
"idinagdag",192
"saligang",192
"order",192
"2014.",192
"nagdudulot",192
"press",192
"paglago",192
"itinakda",192
"west",191
"china",191
"kagubatan",191
"japanese",191
"taglamig",191
"dokumento",191
"maling",191
"pagpili",191
"el",190
"kampo",190
"lubhang",190
"nagmumula",190
"ibon",190
"rehiyong",190
"yards",190
"games",189
"merkado",189
"alagad",189
"pagsasama",189
"sumasaklaw",189
"masyadong",189
"ika-16",189
"60",189
"tumulong",189
"central",189
"malay",188
"1989",188
"proyektong",188
"landas",188
"nominasyon",188
"itlog",188
"sobrang",188
"gusaling",188
"ika-17",187
"bitcoin",187
"laguna",187
"2005.",187
"magkakaroon",187
"salin",186
"bayani",186
"pinaniniwalaan",186
"planeta",186
"produksyon",186
"1993",186
"website",186
"kaluluwa",186
"tama",186
"billboard",186
"pamantayang",186
"all",185
"katulong",185
"paggalaw",185
"parokya",185
"matematika",185
"society",185
"masamang",184
"red",184
"paglipat",184
"timbang",184
"nagkakaroon",184
"terminal",184
"payak",184
"kinakailangang",184
"news",184
"panghimpapawid",184
"pananalapi",184
"kahalagahan",183
"hit",183
"komersyal",183
"nagdadala",183
"nagsagawa",183
"g",183
"kaagad",183
"pangangasiwa",183
"kinalaman",183
"h",183
"white",183
"nawasak",183
"kandidato",183
"samakatuwid",182
"makakuha",182
"partidong",182
"kasalanan",182
"libingan",182
"prosesong",182
"big",182
"1987",182
"george",181
"lansangan",181
"komisyon",181
"code",181
"upuan",181
"teorya",181
"abs-cbn",181
"namuno",181
"himpilan",181
"antonio",181
"nasira",181
"church",181
"pangungusap",181
"kasong",180
"segundo",180
"desisyon",180
"totoong",180
"uring",180
"1991",180
"union",180
"kalakal",180
"air",180
"daantaon",180
"nagkamit",180
"propesor",180
"maganda",179
"watawat",179
"rusya",178
"halamang",178
"iskolar",178
"koreano",178
"gitara",178
"jesus",178
"kulturang",178
"talaga",178
"residente",178
"prinsipe",178
"kristo",178
"nakabase",178
"rekord",178
"hong",178
"tuktok",178
"iba’t",177
"pamayanang",177
"mahigpit",177
"kamag-anak",177
"pagkilos",177
"klasikong",176
"init",176
"santos",176
"magsasaka",176
"meron",176
"naglalaro",176
"guhit",176
"pagpupulong",176
"eskosya",176
"medisina",176
"karagatan",176
"aktibong",175
"kritikal",175
"nagsasaad",175
"kategorya",175
"kaugalian",175
"birus",175
"pagmamay-ari",175
"song",175
"doktor",175
"teknikal",174
"l",174
"nung",174
"titulong",174
"luklukan",174
"mag-anak",174
"nagtagal",174
"kondado",174
"ugnayang",173
"estasyong",173
"isinilang",173
"karangalan",173
"butas",173
"entablado",173
"pagkalipas",173
"ibinibigay",173
"nakaligtas",172
"tanda",172
"burol",172
"nagtala",171
"batong",171
"j",171
"it",171
"ioc",171
"batayan",171
"charles",171
"medikal",171
"misyon",171
"jackson",171
"pinakaunang",171
"katayuang",170
"pangangalaga",170
"unyong",170
"ebanghelyo",170
"hitsura",170
"iilang",170
"alak",170
"disiplina",170
"kristiyanismo",169
"katawagan",169
"mainam",169
"bilyong",169
"diwa",169
"riles",169
"sentrong",169
"king",169
"ika-apat",169
"1984",169
"palapag",169
"tipan",169
"r",168
"pantao",168
"lumago",168
"pagbabagong",168
"set",168
"character",168
"tinig",168
"tanawin",168
"tapat",168
"lambak",168
"griyegong",168
"ikalimang",168
"tinukoy",168
"makina",167
"lumalabas",167
"nananatili",167
"pangalawa",167
"tagapagtatag",167
"500",167
"kilusan",167
"ranggo",167
"pagsisikap",167
"nanguna",167
"maari",167
"pagpapanatili",167
"santiago",166
"nabigo",166
"hinati",166
"magamit",166
