"corpus","war_wikipedia_2021"
"subcorpus","-"
Item,Frequency
".",24181
",",18449
"(",14086
")",13916
"han",7211
"in",5951
"an",5674
"nga",5316
"uska",5012
"tuig",4692
"kalendaryo",4307
"of",3848
":",3643
"new",2253
"species",2215
"uc",2213
"ugsa",2211
"cristo",2200
"kan",2198
"a",1981
"the",1866
"ngan",1534
"from",1423
"de",1409
"and",1352
"genus",1247
"coleoptera",1065
"cerambycidae",957
"ha",940
"figs",872
"&",728
"ni",715
"m",663
"hymenoptera",640
"asya",639
"ngaran",631
"pagkayana",616
"ginhatag",613
"hi",605
"j",589
"mayda",575
"revision",575
"hit",547
"araneae",507
"r",500
"''",492
"e",460
"hadton",416
"1",398
";",398
"l",396
"2",389
"ini",384
"adlaw",379
"d",376
"nahabilin",368
"pa",366
"bulletin",355
"usa",349
"natawo",345
"s",323
"hin",319
"c",310
"4",302
"revista",294
"amo",292
"g",292
"3",286
"p",285
"lamiinae",283
"two",283
"braconidae",270
"du",267
"f",266
"entomologische",265
"notes",260
"""",256
"–",256
"brasileira",249
"insecta",248
"on",247
"revue",245
"martins",245
"entomologist",243
"acta",242
"i",241
"entomologica",233
"la",232
"h",231
"iton",227
">",226
"o",225
"ubirajara",222
"paulo",222
"orthoptera",221
"são",219
"n",215
"homoptera",215
"zoologia",213
"polychaeta",212
"salticidae",204
"et",204
"der",203
"ichneumonidae",200
"t",199
"zeitschrift",199
"entomologia",197
"annales",196
"k",193
"mga",189
"museum",184
"w",183
"fauna",181
"syudad",181
"amerikano",179
"vol",178
"illustrations",177
"insects",166
"v",160
"maria",157
"descriptions",157
"ka",156
"nova",156
"japan",155
"isopoda",155
"do",154
"5",151
"pls",146
"pp",146
"galileo",144
"di",143
"6",143
"helena",142
"guinea",141
"neue",141
"8",140
"oriental",139
"genera",138
"hadin",138
"china",137
"zool",137
"coléoptères",136
"spiders",134
"spider",134
"ihap",134
"part",134
"9",133
"paris",132
"b",132
"gênero",131
"del",129
"australian",127
"mabibilngan",127
"och",125
"2004",124
"aus",124
"2002",122
"bull",122
"pic",120
"pakli",115
"y",115
"-",114
"zoology",113
"three",113
"naturelle",112
"entomologique",112
"des",111
"maurice",111
"lepidoptera",111
"economic",110
"2003",109
"pebrero",109
"zone",109
"entomologie",109
"india",109
"nasod",108
"zoologica",108
"7",107
"biologia",107
"exclusive",107
"2005",106
"histoire",105
"1989",105
"von",104
"salatan",103
"description",102
"12",100
"septyembre",100
"2007",100
"syahan",99
"kahaluag",98
"france",98
"1999",97
"breuning",96
"manunurat",96
"with",96
"sp",95
"odonata",94
"und",94
"ii",94
"chalcidoidea",93
"1987",93
"africa",92
"10",92
"nahamutang",92
"mus",92
"fishes",91
"bungto",91
"john",90
"san",90
"pelikula",90
"1998",90
"2008",90
"2006",90
"da",89
"1996",89
"kapital",89
"2001",89
"avulsos",87
"papéis",86
"cicadellidae",84
"entomological",84
"subspecies",84
"14",84
"stephan",84
"cerambycinae",83
"pan-pacific",83
"26",83
"arachnida",82
"espécies",82
"11",81
"lalawigan",81
"pilosopo",81
"rehiyon",81
"1985",81
"16",80
"zoologie",80
"1995",80
"hunyo",80
"family",79
"1993",78
"monné",78
"1978",78
"1991",77
"crustacea",77
"2000",77
"museo",76
"24",76
"nouveaux",76
"teleostei",76
"musei",76
"nasodnon",76
"namumutang",76
"curitiba",75
"societe",75
"1986",75
"marso",75
"pakistan",74
"neuroptera",74
"22",74
"genre",73
"18",73
"1990",73
"1997",73
"south",73
"1970",73
"1982",72
"muséum",72
"annelida",72
"1980",72
"1992",72
"notas",72
"sinica",72
"1988",72
"english",71
"28",71
"diverses",71
"van",71
"1984",71
"agosto",70
"zealand",70
"1974",70
"les",70
"21",69
"american",69
"nationalis",69
"1994",68
"national",68
"1979",68
"navás",68
"mangulo",68
"tomas",68
"abuyen",67
"30",67
"canadian",67
"british",67
"waray-waray/tagalog",67
"dictionary",67
"oktubre",66
"novas",66
"1981",66
"estado",66
"journal",66
"mayo",66
"entomol",65
"fig",65
"13",65
"papua",65
"17",64
"tokyo",64
"north",64
"populasyon",64
"revisão",64
"ann",64
"argentina",63
"amihanan",63
"rio",62
"neotropical",62
"1975",62
"27",62
"1983",62
"mexico",62
"1971",62
"linnéenne",62
"berliner",62
"braun",62
"1977",62
"2009",62
"15",61
"diptera",61
"série",61
"francisco",61
"hulyo",61
"1972",61
"1973",61
"échange",61
"tikang",60
"pilipinas",60
"enero",60
"world",60
"leap",60
"london",60
"1966",59
"kon",59
"19",59
"year",59
"isla",59
"nag-uusahan",59
"1960",59
"1976",59
"brazil",58
"direktor",58
"thomson",58
"phytoseiidae",58
"iii",58
"hungarici",57
"sinirangan",57
"katundan",57
"freshwater",57
"salog",56
"linsley",56
"para",56
"1963",56
"pacific",56
"ent",56
"20",56
"california",55
"janeiro",55
"ichthyol",55
"31",55
"aktor",54
"novos",54
"société",54
"1967",54
"acarina",54
"elytra",53
"dida",53
"deutsche",53
"napp",53
"iheringia",53
"1961",53
"historico-naturales",53
"papp",53
"mélanges",52
"1969",52
"solange",52
"1964",52
"disyembre",51
"dilma",51
"zootaxa",51
"unibersidad",51
"pl",51
"dapit",51
"1939",51
"z",51
"29",51
"william",51
"suite",50
"franses",50
"pisiko",50
"zoologici",50
"hiya",50
"exotico-entomologiques",49
"chilopoda",49
"some",49
"col",49
"23",49
"25",49
"em",49
"chemsak",48
"entomology",48
"nobyembre",48
"galiano",48
"amerikana",47
"matsumurana",47
"parke",47
"tettigoniidae",47
"1968",46
"ribeiro",46
"porto",46
"1959",46
"korea",46
"thomas",46
"miguel",46
"zur",46
"prószynski",45
"1956",45
"natural",45
"abril",44
"alegre",44
"proc",44
"crous",44
"george",44
"sur",44
"1928",44
"probinsya",43
"records",43
"41",43
"comparative",43
"eds",43
"1929",43
"1955",43
"dagat",43
"society",42
"u",42
"simon",42
"1936",42
"bates",42
"pedro",42
"km²",42
"nouveautés",42
"kwadrado",42
"produser",41
"west",41
"+",41
"1965",41
"1958",41
"36",41
"taiwan",40
"1932",40
"botanique",40
"linyphiidae",40
"dem",40
"1930",40
"chen",40
"arachnol",40
"brasil",40
"paulian",40
"review",39
"politiko",39
"ingles",39
"rawis",39
"1940",39
"history",39
"yunit",39
"1957",39
"jourbook",39
"willem",39
"southern",39
"1927",38
"puro",38
"smith",38
"2010",38
"coleopterists",38
"friedrich",38
"zajciw",38
"1962",38
"magmurulay",38
"wang",38
"acari",38
"serville",38
"africaines",38
"kimikal",38
"1948",38
"1902",38
"robert",38
"iv",37
"descrições",37
"gracillariidae",37
"haliday",37
"1950",37
"hungarica",37
"matematiko",37
"1934",37
"dako",36
"taxonomic",36
"37",36
"butnga",36
"no",36
"nearctic",36
"erythroneura",36
"karl",36
"naturale",36
"gihapon",36
"1908",36
"della",36
"ángel",36
"storia",36
"katunaan",36
"1913",36
"porifera",36
"prioninae",36
"1933",36
"korean",36
"1946",36
"33",36
"tawo",35
"dmytro",35
"vietnam",35
"african",35
"gupta",35
"warszawa",35
"hemilophini",35
"gêneros",35
"1924",35
"unidos",35
"latreille",35
"tatsuya",34
"1925",34
"island",34
"imperyo",34
"typhlocybinae",34
"psyche",34
"soc",34
"gattung",34
"1915",34
"census",34
"34",34
"acanthocinini",34
"chile",34
"1937",34
"1942",34
"niisato",34
"1926",34
"táxons",34
"apanteles",34
"sobre",34
"tenuipalpidae",34
"sarawak",34
"estados",34
"baybayon",34
"east",34
"35",33
"aranei",33
"arn",33
"uwe",33
"aleman",33
"terrestrial",33
"le",33
"1923",33
"hiyá",33
"scarabaeidae",33
"civico",33
"1941",33
"acrididae",33
"belgique",33
"komo",33
"aphidiidae",33
"copeia",33
"charles",33
"beetles",33
"anay",33
"catalogue",33
"48",33
"kraatz",33
"may",32
"david",32
"berichten",32
"hiton",32
"für",32
"folia",32
"gray",32
"to",32
"katawhan",32
"gilmour",32
"chickering",32
"x",31
"genero",31
"isbn",31
"costa",31
"james",31
"chamberlin",31
"n.sp",31
"46",31
"yang",31
"madagascar",31
"suisse",31
"province",31
"1864",31
"berlin",31
"arachn",31
"cahiers",31
"panama",31
"971-08-6529-3",31
"italyano",31
"magellanes",31
"2003.",31
"indonesia",31
"diagnoses",31
"bahin",31
"hini",30
"iní",30
"leyte",30
"central",30
"fairmaire",30
"1953",30
"koch",30
"1931",30
"kottelat",30
"research",30
"globe",30
"49",30
"zabka",29
"1833",29
"entomofauna",29
"38",29
"1938",29
"studies",29
"afr",29
"1954",29
"1910",29
"kompwesto",29
"1912",29
"lugar",29
"1951",29
"subfamily",29
"dworakowska",28
"ed",28
"hemiptera",28
"royal",28
"francis",28
"1899",28
"pag-aram",28
"republika",28
"1911",28
"naglalakip",28
"mundi",28
"a.a",28
"gomphidae",28
"1943",28
"nagtukod",28
"ernst",28
"michael",28
"borneo",28
"kilometro",28
"1903",27
"insectorum",27
"redescription",27
"1909",27
"47",27
"florida",27
"kalibutan",27
"islands",27
"1935",27
"1897",27
"kutob",27
"girault",27
"1917",27
"usá",27
"theridiidae",27
"den",27
"reptilia",27
"dos",27
"munisipyo",26
"43",26
"america",26
"paul",26
"longicorn",26
"papilio",26
"en",26
"cambridge",26
"marine",26
"it",26
"venezuela",26
"eastern",26
"belokobylskij",26
"1894",26
"1919",26
"32",26
"1922",26
"series",26
"afrique",26
"zhang",26
"zheng",26
"note",25
"hym",25
"antonio",25
"vi",25
"51",25
"die",25
"1920",25
"gen",25
"auchenorrhyncha",25
"2009.",25
"oniscidea",25
"rec",25
"1947",25
"1906",25
"39",25
"tsina",25
"cyprinidae",25
"1952",25
"1944",25
"40",25
"gidako-i",25
"linnaeus",25
"gatostuig",25
"orth",25
"1918",24
"palaearctic",24
"peryodista",24
"lycosidae",24
"henry",24
"australia",24
"scandinavica",24
"taxonomy",24
"forrest",24
"subgenus",24
"42",24
"bay",24
"rev",24
"belle",24
"1898",24
"societatis",24
"stary",24
"group",24
"bug-os",24
"1949",24
"1945",24
"mitteilungen",24
"zeitung",24
"imajima",23
"lambillionea",23
"proceedings",23
"v.k",23
"ibidionini",23
"cameron",23
"indian",23
"1835",23
"trudy",23
"amblyseius",23
"carl",23
"panukol",23
"arg",23
"kilalado",23
"audinet-serville",23
"mites",23
"1905",23
"magazine",23
"regions",23
"josé",23
"sumala",23
"ferrara",23
"minoru",23
"1914",22
"sul-americanos",22
"sôbre",22
"tribo",22
"systematics",22
"com",22
"44",22
"45",22
"fischer",22
"thomisidae",22
"1-2",22
"wesolowska",22
"berlese",22
"1904",22
"parasites",22
"york",22
"futbolista",22
"andré",22
"fulgoroidea",22
"fransya",22
"entomologicae",22
"bollettino",22
"nov",22
"western",22
"gingagamit",22
"taiti",22
"hinimo",22
"1891",22
"1921",22
"quelques",22
"ikaduha",22
"li",22
"uvarov",22
"balaod",21
"japanese",21
"3-4",21
"révision",21
"acridoidea",21
"desmiphorini",21
"gnaphosidae",21
"allen",21
"rica",21
"stål",21
"richard",21
"damo",21
"martin",21
"joseph",21
"italiana",21
"wiener",21
"1916",21
"1895",21
"partikulo",21
"banks",21
"3/4",21
"nouvelles",21
"platnick",21
"israel",21
"1900",21
"1907",21
"nouvelle",21
"opuscula",21
"fish",21
"69",21
"1834",21
"africana",21
"pierre",20
"earle",20
"reichenbachia",20
"walker",20
"verhoeff",20
"centrali-americana",20
"1866",20
"siluriformes",20
"1860",20
"peninsula",20
"khan",20
"college",20
"1868",20
"instituta",20
"mongolia",20
"empoasca",20
"purô",20
"walter",20
"wilhelm",20
"mem",20
"diplopoda",20
"s.a",20
"pisces",20
"lamiaires",20
"api",20
"paik",20
"igbaw",19
"1893",19
"asiatica",19
"espécie",19
"parasitic",19
"foerster",19
"demospongiae",19
"annals",19
"encyrtidae",19
"hüdepohl",19
"lane",19
"congo",19
"zoological",19
"romano",19
"washington",19
"l.w",19
"neotropicais",19
"griyego",19
"n.s",19
"serpentes",19
"kanan",19
"academiae",19
"st",19
"typhlodromus",19
"ser",19
"am",19
"genova",19
"zoologicheskogo",19
"database",19
"w.m",19
"52",19
"hepner",19
"2011",19
"liu",19
"amerika",18
"northern",18
"zeyh",18
"luparan",18
"european",18
"asia",18
"annali",18
"entomotaxonomia",18
"porter",18
"das",18
"inhenyero",18
"scientiarum",18
"wilson",18
"kansas",18
"atlas",18
"trans",18
"baraud",18
"sinisiring",18
"europae",18
"58",18
"baseball",18
"53",18
"1-4",18
"nat",18
"ussr",18
"mass",18
"williams",18
"h.a",18
"artista",18
"1892",18
"gorton",18
"chaudhri",18
"szepligeti",18
"g.r",18
"1887",18
"92",18
"w.n",18
"greece",18
"clubionidae",18
"50",18
"fennica",18
"arten",18
"los",18
"lee",18
"university",18
"espèces",18
"propesyonal",18
"1859",17
"zoologische",17
"1890",17
"zeszyty",17
"retirado",17
"hungaricae",17
"zoologischen",17
"catalog",17
"samuel",17
"j.e",17
"bukid",17
"r.v",17
"semenov",17
"ris",17
"1901",17
"edward",17
"region",17
"eschmeyer",17
"horae",17
"turkey",17
"thorell",17
"2007.",17
"56",17
"juan",17
"araneidae",17
"siedlce",17
"naukowe",17
"syllidae",17
"tropical",17
"rysunkow",17
"monograph",17
"dermaptera",17
"ginhulagway",17
"worms",17
"1870",17
"frederick",17
"isopod",17
"wsrp",17
"znanych",17
"1862",17
"cuvier",17
"diagnostycznych",17
"santos-silva",17
"zootaxonomica",17
"catfish",17
"bulgaria",17
"yunnan",17
"mniej",17
"cerambyciden",17
"ng",17
"1889",17
"willemse",17
"sikat",17
"preliminary",16
"2003a",16
"karl-ernst",16
"astronomo",16
"sinopse",16
"2004.",16
"1885",16
"60",16
"butterflies",16
"ix",16
"denmark",16
"briton",16
"perciformes",16
"una",16
"junior",16
"a.m",16
"jumping",16
"formiciformes",16
"j.l",16
"alysiinae",16
"synopsis",16
"gajbe",16
"forster",16
"dysderidae",16
"1872",16
"list",16
"musée",16
"r.h",16
"1896",16
"ada",16
"1-36.",16
"samar",16
"skater",16
"imbentor",16
"specie",16
"fraser",16
"57",16
"adlbauer",16
"h.h",16
"e.s",16
"namuno",16
"1886",16
"peter",16
"harani",16
"natn",16
"a.t.s",16
"far",16
"2006.",15
"nuova",15
"mexicana",15
"stevens",15
"entomologen",15
"54",15
"kimmins",15
"fang",15
"1881",15
"amsterdam",15
"laura",15
"tenuipalpus",15
"2008.",15
"aurivillius",15
"dinastiya",15
"frederico",15
"kapuropod-an",15
"lake",15
"rao",15
"j.s",15
"klase",15
"liwat",15
"onciderini",15
"mulsant",15
"myanmar",15
"negosyante",15
"nagin",15
"sabellidae",15
"kaagi",15
"spionidae",15
"2.",15
"hovore",15
"dc",15
"five",15
"sauria",15
"malaysia",15
"thunberg",15
"lepturinae",15
"gidadakoi",15
"little-known",15
"1.",15
"1888",15
"1863",15
"news",15
"marcela",15
"c.c",15
"terrestria",15
"kumata",15
"kabutngaan",14
"iran",14
"horstmann",14
"90",14
"systematic",14
"iya",14
"kanta",14
"serv",14
"danaw",14
"ohbayashi",14
"palearctic",14
"1832",14
"newman",14
"insectos",14
"white",14
"viii",14
"beitrag",14
"rhinotragini",14
"kamolupyohan",14
"checklist",14
"l.a",14
"saudi",14
"kabahin",14
"serpulidae",14
"hebard",14
"zhurnal",14
"yaginuma",14
"area",14
"southeastern",14
"zucc",14
"61",14
"cape",14
"entomologicheskoye",14
"espanya",14
"55",14
"viggiani",14
"arbeitsgemeinschaft",14
"metro",14
"vii",14
"hedqvist",14
"heliophanus",14
"nachrichten",14
"jour",14
"ministro",14
"musikero",14
"villiers",14
"1853",14
"jocqué",14
"beitrage",14
"obozreniye",14
"biology",14
"iorio",14
"leach",14
"he",14
"louis",14
"s.o",14
"kullander",14
"1861",14
"1869",14
"k.j",14
"orientalia",14
"camb",14
"tunga",14
"alaska",14
"hayop",14
"man-aawit",14
"opiinae",14
"cuba",14
"1804",14
"zodariidae",14
"società",14
"1/2",14
"odonatologica",14
"araneida",14
"dell",14
"descamps",13
"larangan",13
"plecoptera",13
"pradesh",13
"obozrenie",13
"africains",13
"asian",13
"jäch",13
"entomología",13
"fur",13
"d.s",13
"boucomont",13
"trachyderini",13
"diin",13
"ruso",13
"phytoseius",13
"instituto",13
"gressitt",13
"a.s",13
"região",13
"drosophila",13
"1874",13
"62",13
"nahimo",13
"watanabe",13
"ashmead",13
"osvaldo",13
"basketbolista",13
"harold",13
"über",13
"belge",13
"chevrolat",13
"ziro",13
"transvaal",13
"1880",13
"wasps",13
"six",13
"mason",13
"par",13
"sumatra",13
"josef",13
"tribe",13
"entomologicheskoe",13
"couleur",13
"peru",13
"ecuador",13
"ludwig",13
"v.a",13
"lawrence",13
"sci",13
"cixiidae",13
"microgasterinae",13
"ohaus",13
"1-32.",13
"chiang",13
"pragae",13
"kenya",13
"65",13
"raffles",13
"ginngaranan",13
"budapest",13
"acanthoderini",13
"contribuição",13
"64",13
"1879",13
"asellota",13
"leconte",13
"francaise",13
"studia",13
"71",13
"expedition",13
"komiya",13
"hawaiian",13
"figure",13
"un",13
"arabia",13
"kulczynski",13
"southwest",13
"sinonímias",13
"stettiner",13
"monthly",13
"lithobius",13
"française",12
"frank",12
"wilkinson",12
"sentro",12
"mt",12
"parte",12
"oniscoidea",12
"1878",12
"las",12
"osaka",12
"americana",12
"gera",12
"hua",12
"atleta",12
"aqua",12
"panahon",12
"panguna",12
"jones",12
"a.-serville",12
"its",12
"1825",12
"j.a",12
"1873",12
"espanyol",12
"euphorinae",12
"henri",12
"kokujev",12
"sidlangan",12
"lowe",12
"germar",12
"c.f.w",12
"muesebeck",12
"s.i",12
"bahia",12
"88",12
"endl",12
"1840",12
"collections",12
"caves",12
"el",12
"gyera",12
"roy",12
"histeridae",12
"1828",12
"94",12
"ivie",12
"jean",12
"j.r",12
"papilionidae",12
"parandrinae",12
"74",12
"schmidt",12
"selys",12
"binisaya",12
"107",12
"fam",12
"singh",12
"flatidae",12
"amphibia",12
"guiana",12
"chalcid",12
"argiopidae",12
"yinaknan",12
"arquivos",12
"yana",12
"mishchenko",12
"ono",12
"daniel",12
"insectes",12
"bishop",12
"1999.",12
"m.h",12
"nord",12
"coccidae",12
"v.i",12
"biodiversity",12
"spixiana",12
"four",12
"heinrich",12
"calvert",12
"masa",12
"guangxi",12
"gérard",12
"akbar",12
"hispaniola",12
"agi",12
"sugonjaev",12
"novae",11
"j.c",11
"1845",11
"mémoires",11
"beetle",11
"bulgarica",11
"sama",11
"sugli",11
"sheng",11
"sharma",11
"sul",11
"huang",11
"hungary",11
"male",11
"basin",11
"delle",11
"genres",11
"c.l",11
"gosse",11
"pascoe",11
"petrópolis",11
"bag-o",11
"puton",11
"quicke",11
"ein",11
"audenaerde",11
"pansenso",11
"2015",11
"1883",11
"santos",11
"1761",11
"1763",11
"aktris",11
"br",11
"fisher",11
"fragoso",11
"kinberg",11
"stuttgart",11
"linzer",11
"m.l",11
"upod",11
"mananayaw",11
"malmgren",11
"ding",11
"pu",11
"aphid",11
"harvard",11
"ug",11
"hayashi",11
"europa",11
"eduard",11
"1867",11
"johann",11
"exotic",11
"lilloana",11
"brues",11
"mededelingen",11
"1854",11
"thys",11
"cave",11
"1858",11
"eos",11
"rusya",11
"kun",11
"entomon",11
"sosyolohista",11
"schult",11
"al",11
"physis",11
"seven",11
"lithobiomorpha",11
"trioxys",11
"warren",11
"wenkai",11
"j.h",11
"phylogenetic",11
"n.r",11
"synonym",11
"wu",11
"1998.",11
"1884",11
"p.r",11
"d.m",11
"p.j",11
"66",11
"carlos",11
"august",11
"duas",11
"nanginginlabot",11
"parasitoids",11
"naturalista",11
"1871",11
"polynoidae",11
"especies",11
"a.k",11
"related",11
"kalawdan",11
"ricerche",11
"braconinae",11
"for",11
"aerenicini",11
"agelenidae",11
"arthur",11
"biologische",11
"hill",11
"59",11
"oncideres",11
"tanaka",11
"georg",11
"museums",11
"science",11
"giesbert",11
"kontyu",11
"boll",11
"kriechbaumer",11
"2005.",11
"faune",11
"ceylon",11
"characiformes",11
"check-list",11
"latr",11
"cichlidae",11
"cloffa",11
"nahilalakip",11
"franklin",11
"asteroidea",11
"medler",11
"molupyo",11
"santiago",11
"engler",10
"lakip",10
"one",10
"96",10
"queensland",10
"tavakilian",10
"kompositor",10
"ostariophysi",10
"stebnicka",10
"73",10
"metropolitano",10
"ulohan",10
"phillips",10
"distrito",10
"anales",10
"1803",10
"gilbert",10
"eight",10
"a.n",10
"aaron",10
"lewis",10
"russe",10
"kenntnis",10
"sarà",10
"chinoise",10
"mecoptera",10
"anisoptera",10
"afrotropical",10
"eigenmann",10
"kolarov",10
"nivel",10
"siphonaptera",10
"braconid",10
"brevipalpus",10
"iningles",10
"subfam",10
"limnoria",10
"nota",10
"opius",10
"tetrigidae",10
"thailand",10
"onthophagus",10
"c.t",10
"trjapitzin",10
"cambefort",10
"ueber",10
"antilles",10
"clubiona",10
"r.w",10
"cartes",10
"golfo",10
"especes",10
"polychaete",10
"indo-pacific",10
"0",10
"barrio",10
"medvedev",10
"mikhail",10
"johnston",10
"nangungukoy",10
"1865",10
"randall",10
"mexican",10
"psikolohista",10
"field",10
"zoologicheskii",10
"104",10
"neuer",10
"novo",10
"75",10
"harpactea",10
"howden",10
"peckham",10
"invertebrate",10
"shunan",10
"felder",10
"sm",10
"brown",10
"fuji",10
"g.a",10
"biological",10
"sulod-barasahan",10
"gobiidae",10
"marie",10
"kilala",10
"estudo",10
"chrysopidae",10
"1-25.",10
"naging",10
"colombia",10
"72",10
"93",10
"partido",10
"müller",10
"jamaica",10
"1822",10
"publications",10
"cresson",10
"phasmatodea",10
"ekonomiya",10
"kagamhanan",10
"*",10
"1875",10
"schltdl",10
"albert",10
"fennah",10
"heteropsini",10
"gianfranco",10
"serie",10
"marusik",10
"triana",10
"tsino",10
"nuevas",10
"ff",10
"as",10
"christopher",10
"d.f.e",10
"su",10
"sinurat",10
"hiní",10
"colubridae",10
"cyprinid",10
"biol",10
"arigony",9
"pereira",9
"analysis",9
"dombrow",9
"jr",9
"belize",9
"ctenopelmatinae",9
"gattungen",9
"taylor",9
"fauvel",9
"fieb",9
"laos",9
"hist",9
"t.c",9
"luc",9
"danilevsky",9
"mhnt",9
"type",9
"chilena",9
"85",9
"2010.",9
"parasite",9
"danzig",9
"discovery",9
"dipluridae",9
"gordon",9
"1838",9
"dorvilleidae",9
"italya",9
"onuphidae",9
"pteropliini",9
"dawson",9
"patag",9
"ber",9
"berkeley",9
"1826",9
"dlabola",9
"biliran",9
"balitoridae",9
"andrea",9
"clytini",9
"sayantista",9
"annulata",9
"1877",9
"xii",9
"sponges",9
"linz",9
"zetterstedt",9
"tennis",9
"texas",9
"buprestidae",9
"ghauri",9
"animalia",9
"tuna",9
"makihara",9
"takada",9
"13-16.",9
"griffini",9
"subba",9
"perkins",9
"militar",9
"pintor",9
"wroclaw",9
"1842",9
"southwestern",9
"wanless",9
"casey",9
"winaray",9
"wales",9
"e.a",9
"97",9
"puyde",9
"103",9
"lamellicornia",9
"ma",9
"norte",9
"gin-agnayan",9
"nunomura",9
"soest",9
"record",9
"mycol",9
"coniopterygidae",9
"bolivia",9
"63",9
"colômbia",9
"hemerobiidae",9
"cut",9
"opisyal",9
"p.k",9
"hiroshi",9
"lamiidae",9
"europe",9
"philadelphia",9
"1829",9
"bleeker",9
"primer",9
"ricardo",9
"dans",9
"lallemand",9
"f.r",9
"figs.",9
"gamit",9
"canada",9
"j.p",9
"chinese",9
"musika",9
"libellulidae",9
"levi",9
"coccoidea",9
"bryozoa",9
"otto",9
"holmgren",9
"christian",9
"pamunuan",9
"dunin",9
"2014",9
"b.r",9
"phyllodocidae",9
"centrale",9
"northeastern",9
"sciences",9
"disyerto",9
"1846",9
"portugal",9
"judson",9
"j.w",9
"psylloidea",9
"1857",9
"e.m",9
"beamer",9
"/",9
"r.w.m",9
"ad",9
"1876",9
"staphylinidae",9
"agapanthia",9
"ethiopian",9
"spain",9
"castro",9
"russell",9
"1994.",9
"nuovi",9
"swisa",9
"sars",9
"g.s",9
"1-11",9
"longicornia",9
"madeira",9
"tipula",9
"callichromatini",9
"anton",9
"anyphaenidae",9
"magelona",9
"xi",9
"y.m",9
"2ème",9
"snake",9
"motschulsky",9
"67",9
"brescovit",9
"westheide",9
"ochthebius",9
"french",9
"opera",9
"milya",9
"1991b",9
"nouveau",8
"sssr",8
"paraguay",8
"arkiv",8
"oberea",8
"för",8
"systematik",8
"1841",8
"julien",8
"eduardo",8
"kadam-an",8
"scarabaeoidea",8
"teugels",8
"emil",8
"4.",8
"rossica",8
"adolf",8
"bol",8
"song",8
"sp.n",8
"squamata",8
"südostasiatische",8
"luis",8
"manual",8
"tippmann",8
"m.m",8
"marshall",8
"carte",8
"meyrick",8
"harris",8
"georgia",8
"monro",8
"dendy",8
"teritoryo",8
"indies",8
"armadillidae",8
"hapon",8
"100",8
"basiliensia",8
"1851",8
"deux",8
"psyllidae",8
"aphodius",8
"1852",8
"a.d",8
"kabugkiran",8
"madhya",8
"pinuno",8
"treadwell",8
"kazuo",8
"tetragnatha",8
"saussure",8
"afghanistan",8
"blackwall",8
"scott",8
"plant",8
"dysdera",8
"137",8
"tinkham",8
"jonathan",8
"edmund",8
"triberti",8
"tucuman",8
"nixon",8
"fauchald",8
"gintukod",8
"fiji",8
"rossicae",8
"salvin",8
"brazilian",8
"aleocharinae",8
"ernest",8
"sumatrensis",8
"galapagos",8
"undescribed",8
"akademiko",8
"snakes",8
"tobias",8
"giacomo",8
"forst",8
"tungod",8
"types",8
"uber",8
"data",8
"aphidiinae",8
"castañeda",8
"walckenaer",8
"5.",8
"memorie",8
"ommata",8
"women",8
"aprika",8
"neuropteroid",8
"nepal",8
"nanhahalikwat",8
"g.g",8
"nikam",8
"typhlopidae",8
"araujo",8
"meyer",8
"condado",8
"webb",8
"zoologi",8
"heneral",8
"1984c",8
"occurring",8
"79",8
"order",8
"santa",8
"il",8
"danio",8
"plata",8
"miller",8
"isopods",8
"seychelles",8
"1806",8
"exploration",8
"elemento",8
"elementarya",8
"soft",8
"parc",8
"shi",8
"silva",8
"bulkan",8
"longicornes",8
"trichomycterus",8
"hainan",8
"cenopalpus",8
"dillon",8
"jap",8
"mit",8
"mygalomorph",8
"distribution",8
"narendran",8
"coleção",8
"apomecynini",8
"caucasus",8
"occidentalis",8
"doryctinae",8
"scripta",8
"atti",8
"82",8
"augener",8
"delong",8
"1855",8
"kimiko",8
"1824",8
"pilsbry",8
"1-4.",8
"plaza",8
"jonan",8
"serica",8
"1850",8
"duzee",8
"roger",8
"bhat",8
"s.c",8
"keith",8
"acarologia",8
"agsob",8
"karsch",8
"leontievich",8
"nees",8
"aquatic",8
"grasshoppers",8
"3.",8
"status",8
"xv",8
"bryant",8
"supplement",8
"synave",8
"micronesia",8
"schumann",8
"taxa",8
"gal",8
"78",8
"longicórneos",8
"gekkonidae",8
"brignoli",8
"ao",8
"101",8
"hokkaido",8
"sistema",8
"sistens",8
